月日,曜日,ホーム,ホーム得点,備考,ビジター得点,ビジター,球場,開始時間,開始時間（分）,勝ち投手,負け投手
6/19,金,巨人,3,-,2,阪神,東京ドーム,18,0,菅野,岩崎
6/19,金,ヤクルト,7,-,9,中日,神　宮,18,0,福,今野
6/19,金,DeNA,1,-,5,広島,横　浜,18,0,大瀬良,今永
6/19,金,西武,3,-,0,日本ハム,メットライフ,18,0,ニール,有原
6/19,金,オリックス,1,-,9,楽天,京セラD大阪,18,0,則本昂,神戸
6/19,金,ソフトバンク,2,-,1,ロッテ,PayPayドーム,18,0,高橋礼,東條
6/20,土,巨人,11,-,1,阪神,東京ドーム,14,0,田口,岩貞
6/20,土,ヤクルト,6,-,2,中日,神　宮,14,0,小川,吉見
6/20,土,DeNA,5,-,10,広島,横　浜,14,0,中﨑,三嶋
6/20,土,西武,1,-,2,日本ハム,メットライフ,14,0,玉井,松本
6/20,土,オリックス,1,-,2,楽天,京セラD大阪,14,0,森原,澤田
6/20,土,ソフトバンク,2,-,3,ロッテ,PayPayドーム,14,0,ハーマン,松本
6/21,日,巨人,7,-,1,阪神,東京ドーム,13,0,サンチェス,ガルシア
6/21,日,ヤクルト,0,-,3,中日,神　宮,13,0,梅津,山田大
6/21,日,DeNA,2,-,1,広島,横　浜,14,0,パットン,スコット
6/21,日,西武,2,-,12,日本ハム,メットライフ,14,0,堀,與座
6/21,日,オリックス,4,-,0,楽天,京セラD大阪,13,0,山本,石橋
6/21,日,ソフトバンク,1,-,5,ロッテ,PayPayドーム,14,0,美馬,二保
6/23,火,巨人,3,-,2,広島,東京ドーム,18,0,戸郷,ジョンソン
6/23,火,ヤクルト,1,-,4,阪神,神　宮,18,0,青柳,イノーア
6/23,火,DeNA,3,-,0,中日,横　浜,18,0,濵口,柳
6/23,火,楽天,4,-,0,日本ハム,楽天生命パーク,18,0,弓削,マルティネス
6/23,火,西武,11,-,3,ソフトバンク,メットライフ,18,0,髙橋光,ムーア
6/23,火,ロッテ,6,-,5,オリックス,ZOZOマリン,18,0,田中,ディクソン
6/24,水,巨人,1,-,5,広島,東京ドーム,18,0,九里,メルセデス
6/24,水,ヤクルト,6,-,1,阪神,神　宮,18,0,スアレス,ガンケル
6/24,水,DeNA,3,-,2,中日,横　浜,18,0,井納,山本
6/24,水,楽天,5,-,2,日本ハム,楽天生命パーク,18,0,涌井,河野
6/24,水,西武,6,-,9,ソフトバンク,メットライフ,18,0,津森,今井
6/24,水,ロッテ,6,-,4,オリックス,ZOZOマリン,18,0,小島,K-鈴木
6/25,木,巨人,5,-,5,広島,東京ドーム,18,0,宮國,スコット
6/25,木,ヤクルト,3,-,1,阪神,神　宮,18,0,長谷川,藤川
6/25,木,DeNA,10,-,2,中日,横　浜,18,0,坂本,岡野
6/25,木,楽天,5,-,8,日本ハム,楽天生命パーク,18,0,バーヘイゲン,塩見
6/25,木,西武,2,-,4,ソフトバンク,メットライフ,18,0,バンデンハーク,本田
6/25,木,ロッテ,5,-,0,オリックス,ZOZOマリン,18,0,岩下,村西
6/26,金,ヤクルト,5,-,6,巨人,神　宮,18,0,澤村,石山
6/26,金,DeNA,6,-,0,阪神,横　浜,18,0,今永,西勇
6/26,金,中日,1,-,4,広島,ナゴヤドーム,18,0,大瀬良,大野雄
6/26,金,楽天,7,-,1,日本ハム,楽天生命パーク,18,0,則本昂,有原
6/26,金,西武,7,-,4,ソフトバンク,メットライフ,18,0,ギャレット,岩嵜
6/26,金,ロッテ,6,-,5,オリックス,ZOZOマリン,18,0,小野,海田
6/27,土,ヤクルト,9,-,6,巨人,神　宮,14,0,中澤,高木
6/27,土,DeNA,6,-,8,阪神,横　浜,18,0,伊藤和,山﨑
6/27,土,中日,6,-,1,広島,ナゴヤドーム,14,0,吉見,床田
6/27,土,楽天,18,-,4,日本ハム,楽天生命パーク,14,0,酒居,玉井
6/27,土,西武,8,-,7,ソフトバンク,メットライフ,14,0,小川,岩嵜
6/27,土,ロッテ,2,-,1,オリックス,ZOZOマリン,14,0,ハーマン,澤田
6/28,日,ヤクルト,0,-,12,巨人,神　宮,13,0,サンチェス,山田大
6/28,日,DeNA,9,-,1,阪神,横　浜,18,0,平良,中田
6/28,日,中日,3,-,10,広島,ナゴヤドーム,14,0,森下,梅津
6/28,日,楽天,4,-,6,日本ハム,楽天生命パーク,13,0,杉浦,石橋
6/28,日,西武,4,-,3,ソフトバンク,メットライフ,13,0,増田,泉
6/28,日,ロッテ,6,-,5,オリックス,ZOZOマリン,14,0,東條,増井
6/30,火,巨人,5,-,2,DeNA,東京ドーム,18,0,戸郷,国吉
6/30,火,ヤクルト,,中止,,広島,神　宮,18,0,,
6/30,火,中日,5,-,0,阪神,ナゴヤドーム,18,0,柳,青柳
6/30,火,日本ハム,1,-,1,ソフトバンク,札幌ドーム,18,0,公文,嘉弥真
6/30,火,楽天,15,-,4,ロッテ,楽天生命パーク,18,0,弓削,二木
6/30,火,西武,3,-,2,オリックス,メットライフ,18,0,髙橋光,アルバース
7/1,水,巨人,3,-,5,DeNA,東京ドーム,18,0,パットン,澤村
7/1,水,ヤクルト,4,-,3,広島,神　宮,18,0,スアレス,ジョンソン
7/1,水,中日,6,-,3,阪神,ナゴヤドーム,18,0,山本,秋山
7/1,水,日本ハム,0,-,4,ソフトバンク,札幌ドーム,18,0,石川,マルティネス
7/1,水,楽天,5,-,3,ロッテ,楽天生命パーク,18,0,涌井,小島
7/1,水,西武,0,-,6,オリックス,メットライフ,18,0,鈴木,今井
7/2,木,巨人,5,-,3,DeNA,東京ドーム,18,0,桜井,大貫
7/2,木,ヤクルト,9,-,5,広島,神　宮,18,0,石山,スコット
7/2,木,中日,4,-,2,阪神,ナゴヤドーム,18,0,岡野,ガルシア
7/2,木,日本ハム,9,-,8,ソフトバンク,札幌ドーム,18,0,秋吉,森
7/2,木,楽天,5,-,8,ロッテ,楽天生命パーク,18,0,岩下,塩見
7/2,木,西武,9,-,5,オリックス,メットライフ,18,0,平井,山田
7/3,金,巨人,5,-,0,中日,東京ドーム,18,0,菅野,大野雄
7/3,金,ヤクルト,4,-,5,DeNA,神　宮,18,0,今永,石川
7/3,金,広島,,中止,,阪神,マツダスタジアム,18,0,,
7/3,金,日本ハム,1,-,4,ソフトバンク,札幌ドーム,18,0,東浜,有原
7/3,金,楽天,3,-,1,ロッテ,楽天生命パーク,18,0,則本昂,石川
7/3,金,西武,4,-,4,オリックス,メットライフ,18,0,小川,山田
7/4,土,巨人,7,-,3,中日,東京ドーム,14,0,鍬原,吉見
7/4,土,ヤクルト,10,-,8,DeNA,神　宮,18,0,小川,エスコバー
7/4,土,広島,3,-,9,阪神,マツダスタジアム,14,0,岩貞,大瀬良
7/4,土,日本ハム,3,-,8,ソフトバンク,札幌ドーム,14,0,和田,加藤
