月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
5/1（日）,ヤクルト 11 - 2 巨人,神　宮 18:00,,勝：　原樹 敗：高　木
,阪神 7 - 6 DeNA,甲子園 14:00,,勝：ドリス 敗：須　田
,広島 10 - 7 中日,マツダスタジアム 13:30,,勝：戸　田 敗：ネイラー
,ロッテ 4 - 9 日本ハム,QVCマリン 13:00,,勝：大　谷 敗：大嶺祐
,オリックス 4 - 2 楽天,京セラD大阪 13:00,,勝：塚　原 敗：青　山
,ソフトバンク 6 - 3 西武,ヤフオクドーム 13:00,,勝：武　田 敗：　郭
5/2（月）,,,,
5/3（火）,巨人 3 - 2 広島,東京ドーム 18:00,,勝：マシソン 敗：ジョンソン
,DeNA 0 - 6 ヤクルト,横　浜 13:00,,勝：山　中 敗：モスコーソ
,中日 4 - 2 阪神,ナゴヤドーム 14:00,,勝：ジョーダン 敗：藤　浪
,日本ハム 4 - 5 ソフトバンク,札幌ドーム 14:00,,勝：寺　原 敗：井　口
,楽天 2 - 1 ロッテ,Koboスタ宮城 14:00,,勝：ミコライオ 敗：西　野
,西武 6 - 7 オリックス,西武プリンス 13:00,,勝：ディクソン 敗：野　上
5/4（水）,巨人 1 - 6 広島,東京ドーム 18:00,,勝：野　村 敗：江柄子
,DeNA 3 - 2 ヤクルト,横　浜 13:00,,勝：石　田 敗：新　垣
,中日 0 - 9 阪神,ナゴヤドーム 14:00,,勝：横　山 敗：吉　見
,日本ハム 6 - 6 ソフトバンク,札幌ドーム 14:00,,分：榎　下 分：　森
,楽天 5 - 3 ロッテ,Koboスタ宮城 14:00,,勝：美　馬 敗：二　木
,西武 8 - 2 オリックス,西武プリンス 13:00,,勝：菊　池 敗：東　明
5/5（木）,巨人 4 - 2 広島,東京ドーム 14:00,,勝：菅　野 敗：九　里
,DeNA 4 - 2 ヤクルト,横　浜 13:00,,勝：砂　田 敗：石　川
,中日 0 - 1 阪神,ナゴヤドーム 14:00,,勝：メッセンジャー 敗：山　井
,日本ハム 1 - 2 ソフトバンク,札幌ドーム 13:00,,勝：東　浜 敗：加　藤
,楽天 8 - 15 ロッテ,Koboスタ宮城 13:00,,勝：　内 敗：松井裕
,西武 5 - 7 オリックス,西武プリンス 13:00,,勝：近　藤 敗：十　亀
5/6（金）,巨人 2 - 7 中日,東京ドーム 18:00,,勝：若　松 敗：長谷川
,阪神 2 - 0 ヤクルト,甲子園 18:00,,勝：岩　貞 敗：小　川
,広島 0 - 6 DeNA,マツダスタジアム 18:00,,勝：今　永 敗：横　山
,西武 4 - 8 日本ハム,西武プリンス 18:00,,勝：メンドーサ 敗：髙橋光
,ロッテ 0 - 5 オリックス,QVCマリン 18:30,,勝：金子千尋 敗：唐　川
,ソフトバンク 3 - 2 楽天,ヤフオクドーム 18:00,,勝：寺　原 敗：青　山
5/7（土）,巨人 1 - 8 中日,東京ドーム 14:00,,勝：　福 敗：今　村
,阪神 6 - 10 ヤクルト,甲子園 14:00,,勝：秋　吉 敗：ドリス
,広島 10 - 4 DeNA,マツダスタジアム 14:00,,勝：ヘーゲンズ 敗：井　納
,西武 6 - 8 日本ハム,西武プリンス 14:00,,勝：バース 敗：　郭
,ロッテ 4 - 3 オリックス,QVCマリン 14:00,,勝：益　田 敗：平　野
,ソフトバンク 3 - 2 楽天,ヤフオクドーム 14:00,,勝：千　賀 敗：福　山
5/8（日）,巨人 4 - 11 中日,東京ドーム 14:00,,勝：バルデス 敗：高　木
,阪神 1 - 5 ヤクルト,甲子園 14:00,,勝：　原樹 敗：能　見
,広島 1 - 7 DeNA,マツダスタジアム 13:00,,勝：山　口 敗：福　井
,西武 6 - 2 日本ハム,西武プリンス 13:00,,勝：藤　原 敗：大　谷
,ロッテ 4 - 3 オリックス,QVCマリン 13:00,,勝：松　永 敗：　西
,ソフトバンク 3 - 1 楽天,ヤフオクドーム 13:00,,勝：武　田 敗：釜　田
5/9（月）,,,,
5/10（火）,ヤクルト 3 - 6 広島,神　宮 18:00,,勝：ジョンソン 敗：秋　吉
,DeNA 3 - 6 中日,横　浜 18:00,,勝：佐　藤 敗：モスコーソ
,阪神 中止 巨人,甲子園 18:00,,
,日本ハム 4 - 0 オリックス,東京ドーム 18:30,,勝：有　原 敗：ディクソン
,楽天 中止 西武,Koboスタ宮城 18:00,,
,ソフトバンク 2 - 1 ロッテ,ヤフオクドーム 18:00,,勝：バンデンハーク 敗：石　川
5/11（水）,ヤクルト 5 - 2 広島,神　宮 18:00,,勝：石　川 敗：野　村
,DeNA 2 - 0 中日,横　浜 18:00,,勝：石　田 敗：山　井
,阪神 1 - 3 巨人,甲子園 18:00,,勝：田　口 敗：メッセンジャー
,日本ハム 6 - 2 オリックス,東京ドーム 18:30,,勝：吉　川 敗：東　明
,楽天 8 - 3 西武,Koboスタ宮城 18:00,,勝：美　馬 敗：佐　藤
