No.,名前,ポジション,契約,生年月日,身長,体重,投,打,備考,,
85,辻　発彦,,,1958.10.24,,,,,,,
11,今井　達也,投手,支配下選手,1998.05.09,180,70,右,右,,,
12,渡邉　勇太朗,投手,支配下選手,2000.09.21,191,91,右,右,,,
13,髙橋　光成,投手,支配下選手,1997.02.03,190,105,右,右,,,
14,増田　達至,投手,支配下選手,1988.04.23,180,88,右,右,,,
15,宮川　哲,投手,支配下選手,1995.10.10,177,85,右,右,,,
16,松坂　大輔,投手,支配下選手,1980.09.13,182,92,右,右,,,
17,松本　航,投手,支配下選手,1996.11.28,176,87,右,右,,,
20,浜屋　将太,投手,支配下選手,1999.01.26,175,77,左,左,,,
21,十亀　剣,投手,支配下選手,1987.11.07,183,88,右,右,,,
25,平井　克典,投手,支配下選手,1991.12.20,180,86,右,右,,,
26,佐々木　健,投手,支配下選手,1996.05.13,179,87,左,左,,,
27,内海　哲也,投手,支配下選手,1982.04.29,186,93,左,左,,,
28,森脇　亮介,投手,支配下選手,1992.07.13,175,70,右,右,,,
29,小川　龍也,投手,支配下選手,1991.09.03,182,85,左,左,,,
30,榎田　大樹,投手,支配下選手,1986.08.07,180,90,左,左,,,
33,ギャレット,投手,支配下選手,1993.01.02,188,95,右,右,,,
34,佐野　泰雄,投手,支配下選手,1993.01.18,177,90,左,左,,,
36,伊藤　翔,投手,支配下選手,1999.02.10,177,74,右,右,,,
40,田村　伊知郎,投手,支配下選手,1994.09.19,173,86,右,左,,,
41,井上　広輝,投手,支配下選手,2001.07.17,181,82,右,右,,,
43,吉川　光夫,投手,支配下選手,1988.04.06,178,79,左,左,,,
44,與座　海人,投手,支配下選手,1995.09.15,173,78,右,右,,,
45,本田　圭佑,投手,支配下選手,1993.04.24,180,80,右,右,,,
47,松岡　洸希,投手,支配下選手,2000.08.31,180,81,右,右,,,
48,武隈　祥太,投手,支配下選手,1989.11.24,180,90,左,左,,,
50,中塚　駿太,投手,支配下選手,1994.12.26,191,102,右,右,,,
54,ニール,投手,支配下選手,1988.11.09,191,95,右,右,,,
57,齊藤　大将,投手,支配下選手,1995.06.03,178,80,左,左,,,
59,大曲　錬,投手,支配下選手,1998.05.21,179,78,右,右,,,
61,平良　海馬,投手,支配下選手,1999.11.15,173,100,右,左,,,
64,上間　永遠,投手,支配下選手,2001.01.31,180,79,右,右,,,
67,粟津　凱士,投手,支配下選手,1997.03.01,180,88,右,右,,,5/13 育成選手から支配下選手へ移行
69,水上　由伸,投手,支配下選手,1998.07.13,176,81,右,右,5/13 育成選手から支配下選手へ移行,,
98,ダーモディ,投手,支配下選手,1990.07.04,196,102,左,右,,,備考
2,岡田　雅利,捕手,支配下選手,1989.06.30,173,80,右,右,,,
10,森　友哉,捕手,支配下選手,1995.08.08,170,85,右,左,,,
37,柘植　世那,捕手,支配下選手,1997.06.03,174,88,右,右,,,
38,牧野　翔矢,捕手,支配下選手,2001.03.04,178,80,右,左,,,
62,駒月　仁人,捕手,支配下選手,1993.04.21,176,97,右,右,,,
78,齊藤　誠人,捕手,支配下選手,1995.08.07,180,86,右,左,,,備考
3,山川　穂高,内野手,支配下選手,1991.11.23,176,103,右,右,,,
4,山野辺　翔,内野手,支配下選手,1994.05.24,170,74,右,右,,,
5,外崎　修汰,内野手,支配下選手,1992.12.20,177,82,右,右,,,
6,源田　壮亮,内野手,支配下選手,1993.02.16,179,75,右,左,,,
8,渡部　健人,内野手,支配下選手,1998.12.26,176,112,右,右,,,
22,スパンジェンバーグ,内野手,支配下選手,1991.03.16,183,89,右,左,,,
