No.,名前,ポジション,契約,生年月日,身長,体重,投,打,備考
92,与田　剛,監督,,1965.12.04,,,,,
11,小笠原　慎之介,投手,支配下選手,1997.10.08,180,95,左,左,
12,田島　慎二,投手,支配下選手,1989.12.21,181,84,右,右,
13,橋本　侑樹,投手,支配下選手,1998.01.08,180,71,左,左,
14,谷元　圭介,投手,支配下選手,1985.01.28,167,72,右,右,
16,又吉　克樹,投手,支配下選手,1990.11.04,181,74,右,右,
17,柳　裕也,投手,支配下選手,1994.04.22,180,85,右,右,
18,梅津　晃大,投手,支配下選手,1996.10.24,187,90,右,右,
19,髙橋　宏斗,投手,支配下選手,2002.08.09,185,85,右,右,
21,岡田　俊哉,投手,支配下選手,1991.12.05,178,67,左,左,
22,大野　雄大,投手,支配下選手,1988.09.26,183,83,左,左,
24,福谷　浩司,投手,支配下選手,1991.01.09,183,90,右,右,
25,佐藤　優,投手,支配下選手,1993.06.29,187,85,右,左,
28,森　博人,投手,支配下選手,1998.05.25,177,80,右,右,
29,山井　大介,投手,支配下選手,1978.05.10,179,86,右,右,
33,祖父江　大輔,投手,支配下選手,1987.08.11,175,80,右,左,
34,福　敬登,投手,支配下選手,1992.06.16,180,88,左,左,
36,岡野　祐一郎,投手,支配下選手,1994.04.16,180,85,右,右,
38,松葉　貴大,投手,支配下選手,1990.08.14,178,82,左,左,
40,石川　翔,投手,支配下選手,1999.12.14,179,81,右,左,
41,勝野　昌慶,投手,支配下選手,1997.06.12,183,89,右,右,
42,ロサリオ,投手,支配下選手,1994.05.18,185,95,左,左,
43,三ツ間　卓也,投手,支配下選手,1992.07.22,183,92,右,右,
46,鈴木　博志,投手,支配下選手,1997.03.22,181,95,右,右,
47,笠原　祥太郎,投手,支配下選手,1995.03.17,177,85,左,左,
50,清水　達也,投手,支配下選手,1999.11.03,182,83,右,右,
53,マルク,投手,支配下選手,1995.07.18,184,83,右,右,
54,藤嶋　健人,投手,支配下選手,1998.05.08,177,85,右,右,
59,山本　拓実,投手,支配下選手,2000.01.31,167,71,右,右,
64,福島　章太,投手,支配下選手,2002.10.24,176,88,左,左,
65,加藤　翼,投手,支配下選手,2002.12.14,179,80,右,右,
67,ロドリゲス,投手,支配下選手,1997.03.10,186,97,右,右,
69,濱田　達郎,投手,支配下選手,1994.08.04,185,95,左,左,
70,近藤　廉,投手,支配下選手,1998.09.22,180,87,左,左,3/30 育成選手から支配下選手へ移行
97,Ｒ．マルティネス,投手,支配下選手,1996.10.11,193,93,右,左,
