No.,名前,ポジション,契約,生年月日,身長,体重,投,打,備考
6,井口　資仁,監督,,1974.12.04,,,,,
11,佐々木　千隼,投手,支配下選手,1994.06.08,181,83,右,右,
12,石川　歩,投手,支配下選手,1988.04.11,186,80,右,右,
15,美馬　学,投手,支配下選手,1986.09.19,169,75,右,左,
16,種市　篤暉,投手,支配下選手,1998.09.07,183,88,右,右,
17,佐々木　朗希,投手,支配下選手,2001.11.03,190,85,右,右,
18,二木　康太,投手,支配下選手,1995.08.01,190,85,右,右,
19,唐川　侑己,投手,支配下選手,1989.07.05,181,87,右,右,
20,東條　大樹,投手,支配下選手,1991.08.15,178,85,右,右,
24,東妻　勇輔,投手,支配下選手,1996.04.04,172,80,右,右,
27,山本　大貴,投手,支配下選手,1995.11.10,182,90,左,左,
28,松永　昂大,投手,支配下選手,1988.04.16,175,82,左,左,
29,西野　勇士,投手,支配下選手,1991.03.06,183,90,右,右,
30,石崎　剛,投手,支配下選手,1990.09.09,183,91,右,右,
33,南　昌輝,投手,支配下選手,1989.01.18,182,88,右,右,
34,土肥　星也,投手,支配下選手,1995.07.07,186,90,左,左,
35,鈴木　昭汰,投手,支配下選手,1998.09.07,175,80,左,左,
36,有吉　優樹,投手,支配下選手,1991.03.12,178,87,右,右,
37,小野　郁,投手,支配下選手,1996.10.23,175,78,右,右,
41,成田　翔,投手,支配下選手,1998.02.03,170,78,左,左,
42,ハーマン,投手,支配下選手,1984.05.30,193,100,右,左,2/12 支配下選手登録
43,小島　和哉,投手,支配下選手,1996.07.07,177,85,左,左,
46,岩下　大輝,投手,支配下選手,1996.10.02,182,90,右,右,
47,田中　靖洋,投手,支配下選手,1987.06.21,183,88,右,右,
48,中村　稔弥,投手,支配下選手,1996.07.08,178,84,左,左,
49,本前　郁也,投手,支配下選手,1997.10.02,175,76,左,左,3/15 育成選手から支配下選手へ移行
52,益田　直也,投手,支配下選手,1989.10.25,178,80,右,右,
56,中森　俊介,投手,支配下選手,2002.05.29,182,86,右,左,
58,河村　説人,投手,支配下選手,1997.06.18,192,87,右,右,
60,横山　陸人,投手,支配下選手,2001.08.05,179,86,右,右,
62,永野　将司,投手,支配下選手,1993.03.02,181,82,左,左,
64,大嶺　祐太,投手,支配下選手,1988.06.16,184,80,右,左,
65,古谷　拓郎,投手,支配下選手,2000.04.21,184,80,右,右,
69,土居　豪人,投手,支配下選手,2000.04.02,191,92,右,右,
76,フローレス,投手,支配下選手,1989.06.04,191,120,右,右,
22,田村　龍弘,捕手,支配下選手,1994.05.13,172,81,右,右,
32,佐藤　都志也,捕手,支配下選手,1998.01.27,181,86,右,左,
39,吉田　裕太,捕手,支配下選手,1991.07.21,183,99,右,右,
45,宗接　唯人,捕手,支配下選手,1994.07.06,183,90,右,右,
53,江村　直也,捕手,支配下選手,1992.05.06,176,80,右,右,
99,柿沼　友哉,捕手,支配下選手,1993.05.12,180,82,右,右,
0,鳥谷　敬,内野手,支配下選手,1981.06.26,180,79,右,左,
4,藤岡　裕大,内野手,支配下選手,1993.08.08,178,77,右,左,
5,安田　尚憲,内野手,支配下選手,1999.04.15,188,95,右,左,
8,中村　奨吾,内野手,支配下選手,1992.05.28,180,88,右,右,
13,平沢　大河,内野手,支配下選手,1997.12.24,176,80,右,左,
23,三木　亮,内野手,支配下選手,1991.10.25,175,78,右,右,
40,福田　光輝,内野手,支配下選手,1997.11.16,176,80,右,左,
44,井上　晴哉,内野手,支配下選手,1989.07.03,180,114,右,右,
50,松田　進,内野手,支配下選手,1994.08.29,188,93,右,右,
54,レアード,内野手,支配下選手,1987.09.11,185,98,右,右,
55,エチェバリア,内野手,支配下選手,1989.04.15,183,90,右,右,4/10 支配下選手登録
57,小川　龍成,内野手,支配下選手,1998.04.05,171,72,右,左,
67,茶谷　健太,内野手,支配下選手,1998.01.16,186,90,右,右,
68,西巻　賢二,内野手,支配下選手,1999.04.22,167,70,右,右,
0,荻野　貴司,外野手,支配下選手,1985.10.21,172,75,右,右,
1,清田　育宏,外野手,支配下選手,1986.02.11,180,85,右,右,5/28 自由契約
2,藤原　恭大,外野手,支配下選手,2000.05.06,181,80,左,左,
3,角中　勝也,外野手,支配下選手,1987.05.25,180,85,右,左,
7,福田　秀平,外野手,支配下選手,1989.02.10,182,77,右,左,
10,加藤　翔平,外野手,支配下選手,1991.03.28,183,84,右,左右,
25,岡　大海,外野手,支配下選手,1991.07.15,185,80,右,右,
31,菅野　剛士,外野手,支配下選手,1993.05.06,171,83,右,左,
38,髙部　瑛斗,外野手,支配下選手,1997.12.11,178,72,右,左,
51,山口　航輝,外野手,支配下選手,2000.08.18,183,97,右,右,
59,西川　僚祐,外野手,支配下選手,2002.04.19,186,98,右,右,
63,和田　康士朗,外野手,支配下選手,1999.01.14,185,77,左,左,
79,マーティン,外野手,支配下選手,1988.03.06,189,91,右,左,
121,小沼　健太,投手,育成選手,1998.06.11,189,86,右,右,
123,森　遼大朗,投手,育成選手,1999.04.22,180,87,右,左,
126,原　嵩,投手,育成選手,1997.12.06,185,85,右,右,
128,アコスタ,投手,育成選手,1993.12.23,187,89,右,右,
129,佐藤　奨真,投手,育成選手,1998.06.02,177,78,左,左,
122,谷川　唯人,捕手,育成選手,2002.05.27,178,72,右,右,
125,植田　将太,捕手,育成選手,1997.12.18,180,86,右,右,
127,髙濱　卓也,内野手,育成選手,1989.07.06,184,84,右,左,
124,山本　大斗,外野手,育成選手,2002.08.09,180,90,右,右,
130,サントス,外野手,育成選手,1994.04.20,190,83,右,右,2/1 育成選手登録
