No.,名前,ポジション,契約,生年月日,身長,体重,投,打,備考
81,工藤　公康,監督,,1963.05.05,,,,,
2,スチュワート・ジュニア,投手,支配下選手,1999.11.02,198,101,右,右,
10,大竹　耕太郎,投手,支配下選手,1995.06.29,184,78,左,左,
11,津森　宥紀,投手,支配下選手,1998.01.21,176,84,右,右,
13,二保　旭,投手,支配下選手,1990.05.18,182,75,右,右,
16,東浜　巨,投手,支配下選手,1990.06.20,182,80,右,右,
17,岩嵜　翔,投手,支配下選手,1989.10.21,189,85,右,右,
18,武田　翔太,投手,支配下選手,1993.04.03,187,90,右,右,
20,甲斐野　央,投手,支配下選手,1996.11.16,187,90,右,左,
21,和田　毅,投手,支配下選手,1981.02.21,179,80,左,左,
25,田中　正義,投手,支配下選手,1994.07.19,188,93,右,右,
26,レイ,投手,支配下選手,1990.07.01,196,106,右,右,
28,高橋　礼,投手,支配下選手,1995.11.02,188,87,右,右,
29,石川　柊太,投手,支配下選手,1991.12.27,185,87,右,右,
34,椎野　新,投手,支配下選手,1995.10.10,196,95,右,右,
35,モイネロ,投手,支配下選手,1995.12.08,178,69,左,左,
37,マルティネス,投手,支配下選手,1990.08.05,185,90,右,左,2/8 支配下選手登録
38,森　唯斗,投手,支配下選手,1992.01.08,176,96,右,右,
39,尾形　崇斗,投手,支配下選手,1999.05.15,181,83,右,左,
40,杉山　一樹,投手,支配下選手,1997.12.07,193,102,右,右,
41,千賀　滉大,投手,支配下選手,1993.01.30,187,89,右,左,
42,大関　友久,投手,支配下選手,1997.12.14,185,96,左,左,5/28 育成選手から支配下選手へ移行
47,髙橋　純平,投手,支配下選手,1997.05.08,184,84,右,右,
48,渡邉　雄大,投手,支配下選手,1991.09.19,185,84,左,左,
49,古谷　優人,投手,支配下選手,1999.02.19,176,79,左,左,
50,板東　湧梧,投手,支配下選手,1995.12.27,182,80,右,右,
53,泉　圭輔,投手,支配下選手,1997.03.02,188,76,右,右,
56,田浦　文丸,投手,支配下選手,1999.09.21,168,79,左,左,
57,嘉弥真　新也,投手,支配下選手,1989.11.23,172,71,左,左,
58,サファテ,投手,支配下選手,1981.04.09,193,102,右,右,
61,奥村　政稔,投手,支配下選手,1992.08.14,176,72,右,右,
63,川原　弘之,投手,支配下選手,1991.08.23,187,99,左,左,
66,松本　裕樹,投手,支配下選手,1996.04.14,182,85,右,左,
67,笠谷　俊介,投手,支配下選手,1997.03.17,173,72,左,左,
70,田上　奏大,投手,支配下選手,2002.11.26,185,87,右,左,
12,髙谷　裕亮,捕手,支配下選手,1981.11.13,178,83,右,左,
19,甲斐　拓也,捕手,支配下選手,1992.11.05,170,85,右,右,
22,牧原　巧汰,捕手,支配下選手,2002.07.13,176,81,右,左,
31,栗原　陵矢,捕手,支配下選手,1996.07.04,178,78,右,左,
45,谷川原　健太,捕手,支配下選手,1997.04.16,174,85,右,左,
62,海野　隆司,捕手,支配下選手,1997.07.15,174,78,右,右,
65,九鬼　隆平,捕手,支配下選手,1998.09.05,180,83,右,右,
0,川瀬　晃,内野手,支配下選手,1997.09.15,175,69,右,左,
0,髙田　知季,内野手,支配下選手,1990.05.06,176,68,右,左,
5,松田　宣浩,内野手,支配下選手,1983.05.17,180,86,右,右,
6,今宮　健太,内野手,支配下選手,1991.07.15,172,76,右,右,
8,明石　健志,内野手,支配下選手,1986.01.09,175,65,右,左,
23,周東　佑京,内野手,支配下選手,1996.02.10,180,66,右,左,
27,グラシアル,内野手,支配下選手,1985.10.14,187,95,右,右,
33,増田　珠,内野手,支配下選手,1999.05.21,179,84,右,右,
36,牧原　大成,内野手,支配下選手,1992.10.15,172,72,右,左,
43,井上　朋也,内野手,支配下選手,2003.01.28,181,87,右,右,
46,川原田　純平,内野手,支配下選手,2002.05.21,170,72,右,右,
52,リチャード,内野手,支配下選手,1999.06.18,189,119,右,右,
55,野村　大樹,内野手,支配下選手,2000.09.10,171,83,右,右,
68,三森　大貴,内野手,支配下選手,1999.02.21,186,73,右,左,
69,小林　珠維,内野手,支配下選手,2001.05.07,183,87,右,右,
99,川島　慶三,内野手,支配下選手,1983.10.05,171,74,右,右,
4,バレンティン,外野手,支配下選手,1984.07.02,185,100,右,右,
7,中村　晃,外野手,支配下選手,1989.11.05,175,83,左,左,
9,柳田　悠岐,外野手,支配下選手,1988.10.09,188,87,右,左,
24,長谷川　勇也,外野手,支配下選手,1984.12.22,180,86,右,左,
30,佐藤　直樹,外野手,支配下選手,1998.09.03,177,87,右,右,
32,柳町　達,外野手,支配下選手,1997.04.20,180,78,右,左,
44,笹川　吉康,外野手,支配下選手,2002.05.31,193,85,左,左,
51,上林　誠知,外野手,支配下選手,1995.08.01,185,88,右,左,
54,デスパイネ,外野手,支配下選手,1986.06.17,175,95,右,右,
59,水谷　瞬,外野手,支配下選手,2001.03.09,193,95,右,右,
60,釜元　豪,外野手,支配下選手,1993.09.03,180,81,右,左,
64,真砂　勇介,外野手,支配下選手,1994.05.04,185,87,右,右,
120,佐藤　宏樹,投手,育成選手,1999.02.18,180,80,左,左,
123,中道　佑哉,投手,育成選手,1998.09.04,182,73,左,左,
124,桑原　秀侍,投手,育成選手,2002.05.29,175,80,右,右,
133,岡本　直也,投手,育成選手,1996.10.30,182,80,左,左,
134,大城　真乃,投手,育成選手,2002.11.24,170,70,左,左,
137,中村　亮太,投手,育成選手,1998.05.18,183,80,右,右,
138,重田　倫明,投手,育成選手,1996.05.30,185,87,右,右,
139,吉住　晴斗,投手,育成選手,2000.03.12,185,81,右,右,
140,ロドリゲス,投手,育成選手,1998.12.08,185,88,右,右,
143,村上　舜,投手,育成選手,2001.11.01,173,67,左,左,
121,石塚　綜一郎,捕手,育成選手,2001.06.07,181,84,右,右,
129,居谷　匠真,捕手,育成選手,2002.12.30,178,81,右,右,
132,渡邉　陸,捕手,育成選手,2000.09.24,187,84,右,左,
126,黒瀬　健太,内野手,育成選手,1997.08.12,181,97,右,右,
127,緒方　理貢,内野手,育成選手,1998.09.22,175,71,右,左,
128,伊藤　大将,内野手,育成選手,2001.07.27,179,85,右,右,
130,勝連　大稀,内野手,育成選手,2001.04.30,175,67,右,左,
136,荒木　翔太,内野手,育成選手,2001.04.05,184,84,右,右,
125,早　真之介,外野手,育成選手,2002.09.11,181,78,左,左,
131,舟越　秀虎,外野手,育成選手,2001.08.23,181,73,右,右,
142,中村　宜聖,外野手,育成選手,2000.07.03,184,86,右,右,
