No.,名前,ポジション,契約,生年月日,身長,体重,投,打,備考
88,矢野　燿大,1968.12.06,,,,,,,
13,岩崎　優,投手,支配下選手,1991.06.19,185,89,左,左,
14,チェン・ウェイン,投手,支配下選手,1985.07.21,183,90,左,右,
15,西　純矢,投手,支配下選手,2001.09.13,184,86,右,右,
16,西　勇輝,投手,支配下選手,1990.11.10,181,81,右,右,
17,岩貞　祐太,投手,支配下選手,1991.09.05,183,86,左,左,
18,馬場　皐輔,投手,支配下選手,1995.05.18,180,92,右,右,
19,藤浪　晋太郎,投手,支配下選手,1994.04.12,197,95,右,右,
20,中田　賢一,投手,支配下選手,1982.05.11,181,84,右,右,
21,岩田　稔,投手,支配下選手,1983.10.31,179,97,左,左,
27,伊藤　将司,投手,支配下選手,1996.05.08,178,85,左,左,
28,小野　泰己,投手,支配下選手,1994.05.30,186,77,右,右,
29,髙橋　遥人,投手,支配下選手,1995.11.07,181,79,左,左,
30,佐藤　蓮,投手,支配下選手,1998.04.11,188,101,右,右,
34,谷川　昌希,投手,支配下選手,1992.10.06,175,85,右,右,4/20 日本ハムへ移籍
36,浜地　真澄,投手,支配下選手,1998.05.25,185,85,右,右,
37,及川　雅貴,投手,支配下選手,2001.04.18,184,78,左,左,
40,尾仲　祐哉,投手,支配下選手,1995.01.31,173,75,右,左,
41,村上　頌樹,投手,支配下選手,1998.06.25,174,75,右,左,
42,エドワーズ,投手,支配下選手,1988.01.08,196,108,右,右,
43,守屋　功輝,投手,支配下選手,1993.11.25,184,89,右,右,
44,アルカンタラ,投手,支配下選手,1992.12.04,193,100,右,右,
46,秋山　拓巳,投手,支配下選手,1991.04.26,188,102,右,左,
47,川原　陸,投手,支配下選手,2000.12.12,186,86,左,左,
48,齋藤　友貴哉,投手,支配下選手,1995.01.05,184,92,右,左,
49,ガンケル,投手,支配下選手,1991.12.30,196,102,右,右,
50,青柳　晃洋,投手,支配下選手,1993.12.11,183,80,右,右,
54,加治屋　蓮,投手,支配下選手,1991.11.25,185,89,右,右,
56,小林　慶祐,投手,支配下選手,1992.11.02,187,86,右,右,
61,望月　惇志,投手,支配下選手,1997.08.02,190,88,右,右,
64,桑原　謙太朗,投手,支配下選手,1985.10.29,184,86,右,右,
65,湯浅　京己,投手,支配下選手,1999.07.17,183,81,右,右,
66,小川　一平,投手,支配下選手,1997.06.03,183,82,右,右,
