No.,名前,ポジション,契約,生年月日,身長,体重,投,打,備考
83,原　辰徳,監督,,1958.07.22,,,,,
11,平内　龍太,投手,支配下契約,1998.08.01,185,90,右,右,
12,デラロサ,投手,支配下契約,1989.03.04,183,95,右,右,
15,サンチェス,投手,支配下契約,1989.11.28,185,88,右,左右,
17,大竹　寛,投手,支配下契約,1983.05.21,184,96,右,右,
18,菅野　智之,投手,支配下契約,1989.10.11,186,92,右,右,
19,山崎　伊織,投手,支配下契約,1998.10.10,181,75,右,左,
20,戸郷　翔征,投手,支配下契約,2000.04.04,187,78,右,右,
21,井納　翔一,投手,支配下契約,1986.05.01,188,94,右,右,
23,野上　亮磨,投手,支配下契約,1987.06.15,177,77,右,右,
26,今村　信貴,投手,支配下契約,1994.03.15,180,90,左,左,
28,田口　麗斗,投手,支配下契約,1995.09.14,171,83,左,左,3/1 ヤクルトへ移籍
30,鍵谷　陽平,投手,支配下契約,1990.09.23,178,86,右,右,
33,太田　龍,投手,支配下契約,1998.11.15,190,94,右,右,
35,桜井　俊貴,投手,支配下契約,1993.10.21,182,89,右,右,
41,中川　皓太,投手,支配下契約,1994.02.24,183,86,左,左,
42,メルセデス,投手,支配下契約,1994.03.08,188,82,左,左右,
45,畠　世周,投手,支配下契約,1994.05.31,186,82,右,左,
47,髙橋　優貴,投手,支配下契約,1997.02.01,178,82,左,左,
49,ビエイラ,投手,支配下契約,1993.01.07,193,113,右,右,
50,戸根　千明,投手,支配下契約,1992.10.17,174,100,左,左,
53,高梨　雄平,投手,支配下契約,1992.07.13,175,81,左,左,
56,伊藤　優輔,投手,支配下契約,1997.01.14,178,82,右,右,
57,高木　京介,投手,支配下契約,1989.09.05,183,90,左,左,3/5 育成選手から支配下選手へ移行
58,山本　一輝,投手,支配下契約,1998.06.28,181,86,左,左,
59,田中　豊樹,投手,支配下契約,1993.12.01,180,98,右,右,
62,横川　凱,投手,支配下契約,2000.08.30,190,98,左,左,
63,古川　侑利,投手,支配下契約,1995.09.08,178,86,右,右,
64,大江　竜聖,投手,支配下契約,1999.01.15,173,81,左,左,
91,井上　温大,投手,支配下契約,2001.05.13,175,78,左,左,
92,沼田　翔平,投手,支配下契約,2000.06.24,175,78,右,右,
95,堀岡　隼人,投手,支配下契約,1998.09.11,183,87,右,右,
22,小林　誠司,捕手,支配下契約,1989.06.07,178,86,右,右,
24,大城　卓三,捕手,支配下契約,1993.02.11,187,90,右,左,
27,炭谷　銀仁朗,捕手,支配下契約,1987.07.19,181,98,右,右,
38,岸田　行倫,捕手,支配下契約,1996.10.10,176,88,右,右,
67,山瀬　慎之助,捕手,支配下契約,2001.05.04,177,89,右,右,
69,萩原　哲,捕手,支配下契約,1998.05.01,175,85,右,左,
0,湯浅　大,内野手,支配下契約,2000.01.24,172,70,右,右,
0,増田　大輝,内野手,支配下契約,1993.07.29,172,68,右,右,
5,中島　宏之,内野手,支配下契約,1982.07.31,180,90,右,右,
6,坂本　勇人,内野手,支配下契約,1988.12.14,186,86,右,右,
10,スモーク,内野手,支配下契約,1986.12.05,193,99,左,左右,
25,岡本　和真,内野手,支配下契約,1996.06.30,185,96,右,右,
29,吉川　尚輝,内野手,支配下契約,1995.02.08,177,78,右,左,
32,廣岡　大志,内野手,支配下契約,1997.04.09,183,81,右,右,3/1 ヤクルトより移籍
37,若林　晃弘,内野手,支配下契約,1993.08.26,180,79,右,左右,
40,中山　礼都,内野手,支配下契約,2002.04.12,182,80,右,左,
48,ウィーラー,内野手,支配下契約,1987.01.16,178,100,右,右,
52,北村　拓己,内野手,支配下契約,1995.08.29,181,90,右,右,
60,菊田　拡和,内野手,支配下契約,2001.07.23,182,94,右,右,
61,増田　陸,内野手,支配下契約,2000.06.17,178,85,右,右,
65,松井　義弥,内野手,支配下契約,2000.06.18,191,98,右,左,
66,香月　一也,内野手,支配下契約,1996.04.16,176,83,右,左,
68,秋広　優人,内野手,支配下契約,2002.09.17,200,95,右,左,
98,ウレーニャ,内野手,支配下契約,1999.05.27,183,79,右,右,
2,陽　岱鋼,外野手,支配下契約,1987.01.17,184,89,右,右,
8,丸　佳浩,外野手,支配下契約,1989.04.11,177,94,右,左,
9,亀井　善行,外野手,支配下契約,1982.07.28,178,82,右,左,
13,梶谷　隆幸,外野手,支配下契約,1988.08.28,180,88,右,左,
31,松原　聖弥,外野手,支配下契約,1995.01.26,173,74,右,左,
36,石川　慎吾,外野手,支配下契約,1993.04.27,178,80,右,右,
39,立岡　宗一郎,外野手,支配下契約,1990.05.18,181,82,右,左,
43,重信　慎之介,外野手,支配下契約,1993.04.17,173,74,右,左,
44,テームズ,外野手,支配下契約,1986.11.10,180,106,右,左,
51,八百板　卓丸,外野手,支配下契約,1997.01.17,180,82,右,左,2/16 育成選手から支配下選手へ移行
97,伊藤　海斗,外野手,支配下契約,2001.04.02,187,88,左,左,
3,山川　和大,投手,育成選手,1995.01.04,166,78,右,左,
11,笠島　尚樹,投手,育成選手,2002.12.07,178,78,右,右,
12,平井　快青,投手,育成選手,2000.09.12,184,84,右,右,
17,奈良木　陸,投手,育成選手,1998.04.16,182,90,右,右,
18,木下　幹也,投手,育成選手,2002.05.01,185,92,右,右,
19,田中　優大,投手,育成選手,1999.09.14,185,81,右,右,
20,戸田　懐生,投手,育成選手,2000.07.22,170,71,右,右,
29,鍬原　拓也,投手,育成選手,1996.03.26,178,85,右,右,
30,山﨑　友輔,投手,育成選手,1998.05.02,178,80,右,右,
32,堀田　賢慎,投手,育成選手,2001.05.21,185,84,右,右,
40,谷岡　竜平,投手,育成選手,1996.03.21,181,89,右,右,
46,與那原　大剛,投手,育成選手,1998.03.09,189,90,右,右,
51,阿部　剣友,投手,育成選手,2002.05.17,200,100,左,左,
54,直江　大輔,投手,育成選手,2000.06.20,184,82,右,右,
6,坂本　勇人,捕手,育成選手,2002.04.15,177,84,右,右,
24,前田　研輝,捕手,育成選手,1998.12.13,180,85,右,左,
27,喜多　隆介,捕手,育成選手,1998.08.25,179,83,右,右,
1,加藤　廉,内野手,育成選手,1999.01.12,181,80,右,左,
2,平間　隼人,内野手,育成選手,1996.12.16,173,75,右,左,
7,デラクルーズ,内野手,育成選手,2004.07.29,182,76,右,右,3/11 育成選手登録
21,黒田　響生,内野手,育成選手,2000.07.21,183,80,右,右,
25,岡本　大翔,内野手,育成選手,2002.09.12,190,92,右,右,
8,加藤　壮太,外野手,育成選手,1998.04.15,188,90,右,左,
13,ティマ,外野手,育成選手,2004.09.25,193,86,右,右,3/11 育成選手登録
55,保科　広一,外野手,育成選手,1998.06.03,187,90,左,左,
99,山下　航汰,外野手,育成選手,2000.11.15,174,83,右,左,
